mpi/major,2
heat,split_msg,split,join,split_zero,join_zero
10,0.501057,0.308810,0.303945,0.000994,0.000861
10,0.434480,0.263561,0.315385,0.000893,0.000890
10,0.433901,0.265452,0.283433,0.000783,0.000787
10,0.429338,0.266545,0.268489,0.000993,0.000785
100,4.245410,2.544430,2.716050,0.000742,0.000762
100,4.235520,2.584360,2.724220,0.000790,0.000812
10,0.422503,0.262492,0.270903,0.000890,0.000904
100,4.222420,2.525340,2.747360,0.000758,0.000787
100,4.220460,2.538050,2.699240,0.000805,0.000809
100,4.202650,2.528560,2.694660,0.000842,0.000913
100,4.202060,2.520940,2.694430,0.000763,0.000786
100,4.200690,2.569620,2.740620,0.001045,0.000897
100,4.195680,2.655460,2.799660,0.000761,0.000787
100,4.194090,2.556480,2.671500,0.000815,0.000802
100,4.193770,2.546870,2.671370,0.000809,0.000728
10,0.419232,0.265813,0.312467,0.001474,0.000961
100,4.186840,2.540120,2.691120,0.000768,0.000754
100,4.175230,2.571850,2.661720,0.000812,0.000814
100,4.174830,2.524500,2.723340,0.000844,0.000843
100,4.172450,2.520330,2.697420,0.000842,0.000812
10,0.417067,0.256422,0.279354,0.000834,0.000837
10,0.416929,0.259648,0.265403,0.000779,0.000804
100,4.161940,2.530800,2.709080,0.000811,0.000770
100,4.159320,2.568360,2.716620,0.000932,0.000996
10,0.415784,0.261613,0.293513,0.000968,0.001034
10,0.415746,0.254000,0.281556,0.000954,0.000759
100,4.155960,2.552020,2.659680,0.000817,0.000789
100,4.145530,2.529320,2.710470,0.000794,0.000929
100,4.131120,2.554290,2.727750,0.000822,0.001134
100,4.127020,2.527330,2.687410,0.000786,0.000784
10,0.412433,0.260296,0.282992,0.000834,0.001068
10,0.411597,0.270603,0.286223,0.000897,0.000910
10,0.411155,0.274485,0.281274,0.000909,0.000917
10,0.409526,0.260090,0.275393,0.000766,0.000902
10,0.408247,0.252526,0.283181,0.000835,0.000838
10,0.404948,0.258055,0.274856,0.001009,0.001027
10,0.404347,0.250293,0.281381,0.000988,0.000833
10,0.401278,0.258617,0.265794,0.000762,0.000809
10,0.400366,0.271719,0.273885,0.001082,0.001041
10,0.397974,0.260344,0.313222,0.000931,0.000842
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.001104,0.000868
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000905,0.000736
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000837,0.000885
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000823,0.000886
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000801,0.000808
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000797,0.000808
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000795,0.000801
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000784,0.000758
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000783,0.000886
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000782,0.000784
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000782,0.000735
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000780,0.000741
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000775,0.000735
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000769,0.000781
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000768,0.000755
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000759,0.000761
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000749,0.000760
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000744,0.000761
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000742,0.000756
1000,TIME-OUT,TIME-OUT,TIME-OUT,0.000731,0.000762
